Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/sÂ²) Run #1
-0.040,,,-0.320
-0.020,,0.394,-0.345
1.000E-10,0.3004,0.387,-0.345
0.020,0.3082,0.380,-0.328
0.040,0.3159,0.373,-0.312
0.060,0.3234,0.367,-0.295
0.080,0.3308,0.361,-0.278
0.100,0.3381,0.355,-0.261
0.120,0.3452,0.350,-0.253
0.140,0.3523,0.345,-0.253
0.160,0.3592,0.340,-0.244
0.180,0.3661,0.334,-0.236
0.200,0.3728,0.329,-0.244
0.220,0.3794,0.325,-0.278
0.240,0.3860,0.320,-0.320
0.260,0.3924,0.314,-0.328
0.280,0.3988,0.307,-0.312
0.300,0.4050,0.300,-0.303
0.320,0.4111,0.295,-0.312
0.340,0.4170,0.289,-0.312
0.360,0.4228,0.282,-0.286
0.380,0.4287,0.276,-0.269
0.400,0.4341,0.271,-0.269
0.420,0.4396,0.266,-0.269
0.440,0.4450,0.260,-0.269
0.460,0.4502,0.255,-0.269
0.480,0.4553,0.250,-0.261
0.500,0.4604,0.244,-0.244
0.520,0.4654,0.238,-0.244
0.540,0.4701,0.234,-0.269
0.560,0.4749,0.229,-0.286
0.580,0.4796,0.223,-0.286
0.600,0.4841,0.217,-0.286
0.620,0.4884,0.212,-0.295
0.640,0.4928,0.206,-0.312
0.660,0.4969,0.200,-0.320
0.680,0.5011,0.194,-0.320
0.700,0.5049,0.187,-0.312
0.720,0.5088,0.181,-0.303
0.740,0.5125,0.175,-0.303
0.760,0.5160,0.169,-0.295
0.780,0.5195,0.163,-0.286
0.800,0.5228,0.157,-0.286
0.820,0.5259,0.152,-0.295
0.840,0.5291,0.146,-0.303
0.860,0.5320,0.139,-0.295
0.880,0.5349,0.133,-0.278
0.900,0.5376,0.127,-0.261
0.920,0.5402,0.122,-0.253
0.940,0.5426,0.117,-0.253
0.960,0.5451,0.112,-0.253
0.980,0.5474,0.107,-0.261
1.000,0.5496,0.102,-0.269
1.020,0.5516,0.097,-0.261
1.040,0.5537,0.091,-0.244
1.060,0.5555,0.086,-0.244
1.080,0.5573,0.082,-0.278
1.100,0.5589,0.077,-0.312
1.120,0.5606,0.071,-0.320
1.140,0.5621,0.064,-0.312
1.160,0.5634,0.058,-0.312
1.180,0.5646,0.052,-0.328
1.200,0.5657,0.045,-0.328
1.220,0.5667,0.038,-0.286
1.240,0.5675,0.031,-0.219
1.260,0.5682,0.026,-0.168
1.280,0.5687,0.023,-0.152
1.300,0.5692,0.020,-0.152
1.320,0.5697,0.017,-0.152
1.340,0.5701,0.014,-0.160
1.360,0.5703,0.011,-0.185
1.380,0.5707,0.008,-0.219
1.400,0.5708,0.004,-0.236
1.420,0.5709,-0.001,-0.211
1.440,0.5710,-0.006,-0.160
1.460,0.5709,-0.010,-0.118
1.480,0.5707,-0.012,-0.093
1.500,0.5705,-0.014,-0.084
1.520,0.5702,-0.016,-0.093
1.540,0.5699,-0.017,-0.135
1.560,0.5696,-0.019,-0.202
1.580,0.5692,-0.022,-0.261
1.600,0.5688,-0.027,-0.286
1.620,0.5684,-0.033,-0.278
1.640,0.5677,-0.039,-0.269
1.660,0.5670,-0.044,-0.278
1.680,0.5662,-0.050,-0.286
1.700,0.5652,-0.056,-0.269
1.720,0.5642,-0.062,-0.236
1.740,0.5630,-0.067,-0.211
1.760,0.5617,-0.071,-0.202
1.780,0.5604,-0.075,-0.211
1.800,0.5589,-0.079,-0.227
1.820,0.5573,-0.083,-0.236
1.840,0.5557,-0.088,-0.227
1.860,0.5540,-0.093,-0.211
1.880,0.5522,-0.097,-0.202
1.900,0.5503,-0.101,-0.202
1.920,0.5483,-0.105,-0.211
1.940,0.5463,-0.109,-0.236
1.960,0.5441,-0.113,-0.261
1.980,0.5419,-0.118,-0.261
2.000,0.5396,-0.124,-0.227
2.020,0.5372,-0.129,-0.194
2.040,0.5346,-0.133,-0.202
2.060,0.5320,-0.136,-0.244
2.080,0.5293,-0.140,-0.278
2.100,0.5265,-0.147,-0.269
2.120,0.5237,-0.153,-0.244
2.140,0.5207,-0.158,-0.244
2.160,0.5175,-0.162,-0.261
2.180,0.5144,-0.167,-0.269
2.200,0.5111,-0.173,-0.261
2.220,0.5077,-0.178,-0.253
2.240,0.5042,-0.183,-0.253
2.260,0.5006,-0.188,-0.244
2.280,0.4969,-0.193,-0.227
2.300,0.4931,-0.198,-0.211
2.320,0.4892,-0.202,-0.194
2.340,0.4852,-0.206,-0.177
2.360,0.4810,-0.210,-0.168
2.380,0.4769,-0.213,-0.185
2.400,0.4727,-0.216,-0.219
2.420,0.4683,-0.220,-0.236
2.440,0.4641,-0.225,-0.227
2.460,0.4596,-0.230,-0.211
2.480,0.4550,-0.234,-0.194
2.500,0.4504,-0.238,-0.185
2.520,0.4456,-0.243,-0.194
2.540,0.4408,-0.246,-0.227
2.560,0.4359,-0.250,-0.269
2.580,0.4310,-0.255,-0.286
2.600,0.4260,-0.261,-0.278
2.620,0.4208,-0.267,-0.253
2.640,0.4156,-0.272,-0.227
2.660,0.4101,-0.277,-0.219
2.680,0.4047,-0.281,-0.236
2.700,0.3991,-0.285,-0.253
2.720,0.3934,-0.290,-0.227
2.740,0.3877,-0.296,-0.168
2.760,0.3819,-0.300,-0.135
2.780,0.3758,-0.302,-0.152
2.800,0.3697,-0.304,-0.185
2.820,0.3638,-0.308,-0.211
2.840,0.3576,-0.312,-0.227
2.860,0.3514,-0.316,-0.236
2.880,0.3451,-0.321,-0.227
2.900,0.3388,-0.326,-0.219
2.920,0.3323,-0.330,-0.236
2.940,0.3257,-0.334,-0.261
2.960,0.3190,-0.340,-0.261
2.980,0.3124,-0.346,-0.244
3.000,0.3055,-0.351,-0.227
3.020,0.2985,-0.355,-0.211
3.040,0.2914,-0.360,-0.177
3.060,0.2844,-0.364,-0.143
3.080,0.2771,-0.367,-0.143
3.100,0.2697,-0.369,-0.168
3.120,0.2624,-0.372,-0.202
3.140,0.2550,-0.376,-0.211
3.160,0.2475,-0.380,-0.185
3.180,0.2400,-0.385,-0.152
3.200,0.2323,-0.388,-0.152
3.220,0.2246,-0.390,-0.202
3.240,0.2167,-0.393,-0.244
3.260,0.2091,-0.398,-0.244
3.280,0.2011,-0.404,-0.211
3.300,0.1930,-0.408,-0.168
3.320,0.1849,-0.412,-0.143
3.340,0.1767,-0.415,-0.143
3.360,0.1684,-0.417,-0.177
3.380,0.1601,-0.420,-0.219
3.400,0.1517,-0.424,-0.244
3.420,0.1433,-0.429,-0.253
3.440,0.1347,-0.435,-0.244
3.460,0.1261,-0.440,-0.227
3.480,0.1174,-0.445,-0.202
3.500,0.1085,-0.449,-0.168
3.520,0.0996,-0.453,-0.135
3.540,0.0906,-0.456,-0.118
3.560,0.0815,-0.458,-0.135
3.580,0.0723,-0.460,-0.168
3.600,0.0632,-0.463,-0.202
3.620,0.0540,-0.467,-0.236
3.640,0.0446,-0.471,-0.261
3.660,0.0353,-0.476,-0.261
3.680,0.0258,-0.482,-0.227
3.700,0.0162,-0.487,-0.185
3.720,0.0065,-0.491,
3.740,-0.0033,-0.494,
